key,angle_degrees,psnr,ssim,model_inference_ms
002535,0,18.02902329390926,0.51444087287251,36.32800000195857
002545,0,26.61561774390774,0.7342070161590744,33.314999996946426
002548,0,26.286222138020978,0.7538772306952034,33.58010000010836
002555,0,29.819862470714597,0.6382873667013645,35.195000000385335
002567,0,25.152880564988422,0.4782934278897084,36.37239999807207
002570,0,26.63209073114897,0.4880542283905027,40.493399999832036
002571,0,27.555266913493384,0.50123769852186,46.566699998948025
002572,0,32.35892305558787,0.9320785969774658,31.969100000424078
002591,0,27.027228565982114,0.8801550601951406,34.98129999934463
002607,0,23.025873919717753,0.26581741349210963,36.19780000008177
002608,0,33.73262244127738,0.9144867040216923,35.18620000249939
002609,0,30.82420385767119,0.9284843015651703,34.326699998928234
002614,0,31.344630948244124,0.8607550332227946,34.4197999984317
002616,0,23.38585998262145,0.700016275205609,31.47769999850425
002622,0,30.556085243525615,0.7903346348159239,32.27049999986775
002623,0,29.77257444295041,0.7701490243174434,35.514100000000326
002632,0,25.45989021653439,0.7831492209002711,34.4197999984317
002635,0,20.37414801134861,0.3675838642590349,34.30659999867203
002642,0,21.625870310228585,0.6999109097031567,32.23729999808711
002645,0,33.46884158375198,0.8914300914905071,33.27020000142511
002648,0,28.802230950295467,0.7591377896368354,34.212800001114374
002659,0,30.465836208940193,0.8120024954635799,31.210000001010485
002665,0,27.001086787093538,0.7989160040076562,33.61109999968903
002669,0,24.456402934713047,0.7376475432847039,31.347599997388897
002670,0,25.204505080382084,0.7331015118251187,31.024399999296293
002676,0,29.934710161191475,0.705515421140546,31.065300001500873
002685,0,30.865544795603668,0.9201509100579899,35.96240000115358
002686,0,30.497832484480618,0.9090939426966103,32.044800002040574
002702,0,34.565156265664015,0.847826779902935,35.86609999911161
002706,0,22.574245920831633,0.8308950294718296,33.53579999748035
002709,0,27.968323001988317,0.7132877642840156,39.52209999988554
002713,0,20.2578600554809,0.3710315303847044,35.974300000816584
002715,0,20.086468334641715,0.36642601020476756,36.552399997162865
002717,0,26.469463417954874,0.7985810417022556,34.02029999779188
