key,input_height,input_width,output_height,output_width,size_group,psnr,ssim,inference_time_ms
000690,128,128,256,256,128x128_to_256x256,21.961241376238256,0.7189676319921298,0.13870000111637637
000706,128,128,256,256,128x128_to_256x256,19.098181915388317,0.2581368257663748,0.13609999950858764
000707,128,128,256,256,128x128_to_256x256,19.44572221942815,0.24887973555483775,0.14089999967836775
000718,128,128,256,256,128x128_to_256x256,19.66127969985194,0.747701450024467,0.12309999874560162
000721,128,128,256,256,128x128_to_256x256,25.010183550622923,0.857180364312157,0.12760000026901253
000732,128,128,256,256,128x128_to_256x256,20.09048199764464,0.5921981062112662,0.12690000039583538
000735,128,128,256,256,128x128_to_256x256,19.638889847900245,0.2993618774421063,0.13899999976274557
000746,128,128,256,256,128x128_to_256x256,20.99263454838738,0.17671893903896982,0.14100000043981709
000749,128,128,256,256,128x128_to_256x256,24.065948005767012,0.7279623770111259,0.12880000031145755
000752,128,128,256,256,128x128_to_256x256,24.85706602678527,0.3918773650693202,0.1823999991756864
000760,128,128,256,256,128x128_to_256x256,20.1503100092191,0.26247822322464304,0.13700000090466347
000764,128,128,256,256,128x128_to_256x256,19.773939057668922,0.7439741440949604,0.13220000073488336
000778,128,128,256,256,128x128_to_256x256,19.472155010510495,0.40146029573754033,0.13219999891589396
000781,128,128,256,256,128x128_to_256x256,23.035674813346596,0.42413470643085155,0.12569999853440095
000805,128,128,256,256,128x128_to_256x256,30.24649187769692,0.7959919868013193,0.12419999984558672
000807,128,128,256,256,128x128_to_256x256,25.92842839250467,0.6622407028161166,0.139899999339832
000809,128,128,256,256,128x128_to_256x256,21.63262990412354,0.23203408228277975,0.12390000119921751
000816,128,128,256,256,128x128_to_256x256,25.334875468930633,0.5428550613605715,0.2029999996011611
000820,128,128,256,256,128x128_to_256x256,20.223308742022162,0.7051784345004596,0.1422000004822621
000828,128,128,256,256,128x128_to_256x256,20.629846746387894,0.2832299637019702,0.14059999921300914
000830,128,128,256,256,128x128_to_256x256,26.89799732412385,0.4404345262131542,0.13579999904322904
000836,128,128,256,256,128x128_to_256x256,26.215912467993952,0.8048400648801327,0.12900000001536682
000838,128,128,256,256,128x128_to_256x256,27.947873934701825,0.8284837405947297,0.15419999908772297
000840,128,128,256,256,128x128_to_256x256,24.37220079699567,0.7679868440185338,0.14100000043981709
000844,128,128,256,256,128x128_to_256x256,23.1307742082674,0.5803919049851108,0.13890000082028564
000851,128,128,256,256,128x128_to_256x256,25.00413829186922,0.6309577658507768,0.15690000145696104
000861,128,128,256,256,128x128_to_256x256,20.221135464833292,0.4599286131958661,0.1371000016661128
000862,128,128,256,256,128x128_to_256x256,21.64272732341886,0.5163711369882179,0.14290000035543926
000867,128,128,256,256,128x128_to_256x256,20.015582257409523,0.3246811591505607,0.1401999998051906
000886,128,128,256,256,128x128_to_256x256,27.40352186652977,0.794364530367895,0.12480000077630393
000893,128,128,256,256,128x128_to_256x256,22.61090116190733,0.2624956406908434,0.28810000003431924
000908,128,128,256,256,128x128_to_256x256,25.30812740067301,0.7386429152854499,0.12760000026901253
000915,128,128,256,256,128x128_to_256x256,22.75978918471185,0.7703165673919916,0.1331999992544297
000926,128,128,256,256,128x128_to_256x256,26.767633564371792,0.5709521808034757,0.12309999874560162
000930,128,128,256,256,128x128_to_256x256,22.519740872525304,0.6100237853755311,0.14250000094762072
000938,128,128,256,256,128x128_to_256x256,23.04251357909013,0.28515812165331145,0.1300999992963625
000948,128,128,256,256,128x128_to_256x256,22.10122732281505,0.4064850345434345,0.13799999942420982
000949,128,128,256,256,128x128_to_256x256,29.90428047448287,0.7497158898644373,0.16519999917363748
000961,128,128,256,256,128x128_to_256x256,23.515969159504614,0.349963837558239,0.13559999933931977
000962,128,128,256,256,128x128_to_256x256,22.064875740301268,0.3291274833119809,0.14250000094762072
